tau,delta,omega1,omega2,alpha,beta,gamma
0.049999999999999996,0.049999999999999996,0.07192249441438314,0.6371374928515666,0.024999464564846363,0.024999464564846363,-2.3872285570547547e-07
0.049999999999999996,0.049999999999999996,0.07192249441438314,0.9164903554162177,0.024998899328537494,0.024998899328537494,-3.433815400910589e-07
0.049999999999999996,0.049999999999999996,0.07192249441438314,1.3183254493651788,0.024997729825301462,0.024997729825301462,-4.939093862788013e-07
0.049999999999999996,0.049999999999999996,0.07192249441438314,1.8963450953661247,0.02499531017026202,0.02499531017026202,-7.10381305779606e-07
0.049999999999999996,0.049999999999999996,0.07192249441438314,2.727797390584258,0.024990304463052837,0.024990304463052837,-1.021602107798003e-06
0.049999999999999996,0.049999999999999996,0.07192249441438314,3.923799851757305,0.024979950786851113,0.024979950786851113,-1.468792039993616e-06
0.049999999999999996,0.049999999999999996,0.07192249441438314,5.64418945842344,0.024999999991306865,0.024917087933961746,-2.1106080394517335e-06
0.049999999999999996,0.049999999999999996,0.07192249441438314,8.118883695943603,0.024999999981907273,0.024828640568404836,-3.0295355752940623e-06
0.049999999999999996,0.049999999999999996,0.07192249441438314,11.678607345450605,0.024999999962108,0.024646228953102423,-4.3386282611024285e-06
0.049999999999999996,0.049999999999999996,0.07192249441438314,16.7990914314189,0.024999999919676164,0.024271345627898455,-6.184010246101934e-06
0.049999999999999996,0.049999999999999996,0.07192249441438314,24.164651192858756,0.024999999825912056,0.023506499564584615,-8.727763756155582e-06
0.049999999999999996,0.049999999999999996,0.07192249441438314,34.75963980887802,0.024999999608840362,0.02196959321847114,-1.2065856358489668e-05
0.049999999999999996,0.049999999999999996,0.07192249441438314,49.99999999999999,0.024999999081123825,0.018978606521495855,-1.5963772686866662e-05
0.049999999999999996,0.049999999999999996,0.10345690405573947,0.049999999999999996,0.02499998280387894,0.02499998280387894,-2.6948611342447748e-08
0.049999999999999996,0.049999999999999996,0.10345690405573947,0.07192249441438314,0.024999979322749777,0.024999979322749777,-3.8764220278153516e-08
0.049999999999999996,0.049999999999999996,0.10345690405573947,0.10345690405573947,0.024999972119815084,0.024999972119815084,-5.5760369654933584e-08
0.049999999999999996,0.049999999999999996,0.10345690405573947,0.14881757208156587,0.024999957215956936,0.024999957215956936,-8.020843988987281e-08
0.049999999999999996,0.049999999999999996,0.10345690405573947,0.21406661993596965,0.024999926377849757,0.024999926377849757,-1.1537565036690012e-07
0.049999999999999996,0.049999999999999996,0.10345690405573947,0.30792410553301314,0.024999862569693665,0.024999862569693665,-1.6596158225468116e-07
0.049999999999999996,0.049999999999999996,0.10345690405573947,0.4429333952050412,0.024999730542428544,0.024999730542428544,-2.387259057101687e-07
0.049999999999999996,0.049999999999999996,0.10345690405573947,0.6371374928515666,0.02499945736244591,0.02499945736244591,-3.433907460603791e-07
0.049999999999999996,0.049999999999999996,0.10345690405573947,0.9164903554162177,0.024998892126724126,0.024998892126724126,-4.939369677714467e-07
0.049999999999999996,0.049999999999999996,0.10345690405573947,1.3183254493651788,0.02499772262470179,0.02499772262470179,-7.104636550181453e-07
0.049999999999999996,0.049999999999999996,0.10345690405573947,1.8963450953661247,0.024995302972174116,0.024995302972174116,-1.0218475559042872e-06
0.049999999999999996,0.049999999999999996,0.10345690405573947,2.727797390584258,0.024990297270161665,0.024990297270161665,-1.469522930008793e-06
0.049999999999999996,0.049999999999999996,0.10345690405573947,3.923799851757305,0.024979943604705124,0.024979943604705124,-2.112783014318609e-06
0.049999999999999996,0.049999999999999996,0.10345690405573947,5.64418945842344,0.024999999991305977,0.02491707361410267,-3.0360028482334656e-06
0.049999999999999996,0.049999999999999996,0.10345690405573947,8.118883695943603,0.024999999981905496,0.02482862634030436,-4.357833603307881e-06
0.049999999999999996,0.049999999999999996,0.10345690405573947,11.678607345450605,0.024999999962106223,0.024646214914121778,-6.240897181264415e-06
0.049999999999999996,0.049999999999999996,0.10345690405573947,16.7990914314189,0.024999999919675275,0.024271331977067767,-8.895385779972287e-06
0.049999999999999996,0.049999999999999996,0.10345690405573947,24.164651192858756,0.02499999982591028,0.023506486703454677,-1.2554446487733628e-05
0.049999999999999996,0.049999999999999996,0.10345690405573947,34.75963980887802,0.024999999608839474,0.021969581934851767,-1.735612381725815e-05
0.049999999999999996,0.049999999999999996,0.10345690405573947,49.99999999999999,0.024999999081122937,0.018978598268968305,-2.2963079351789872e-05
0.049999999999999996,0.049999999999999996,0.14881757208156587,0.049999999999999996,0.024999967899997255,0.024999967899997255,-3.8764198961871443e-08
0.049999999999999996,0.049999999999999996,0.14881757208156587,0.07192249441438314,0.024999964418876086,0.024999964418876086,-5.576034922682993e-08
0.049999999999999996,0.049999999999999996,0.14881757208156587,0.10345690405573947,0.024999957215956936,0.024999957215956936,-8.020843988987281e-08
0.049999999999999996,0.049999999999999996,0.14881757208156587,0.14881757208156587,0.024999942312130763,0.024999942312130763,-1.1537573829656367e-07
0.049999999999999996,0.049999999999999996,0.14881757208156587,0.21406661993596965,0.024999911474090197,0.024999911474090197,-1.659619721650074e-07
0.049999999999999996,0.049999999999999996,0.14881757208156587,0.30792410553301314,0.024999847666070885,0.024999847666070885,-2.387272486359393e-07
0.049999999999999996,0.049999999999999996,0.14881757208156587,0.4429333952050412,0.024999715639089537,0.024999715639089537,-3.433950066522584e-07
0.049999999999999996,0.049999999999999996,0.14881757208156587,0.6371374928515666,0.024999442459693544,0.024999442459693544,-4.939500266587515e-07
0.049999999999999996,0.049999999999999996,0.14881757208156587,0.9164903554162177,0.024998877225185456,0.024998877225185456,-7.105030670473411e-07
0.049999999999999996,0.049999999999999996,0.14881757208156587,1.3183254493651788,0.024997707725675333,0.024997707725675333,-1.0219656338961158e-06
0.049999999999999996,0.049999999999999996,0.14881757208156587,1.8963450953661247,0.02499528807834439,0.02499528807834439,-1.4698754506881073e-06
0.049999999999999996,0.049999999999999996,0.14881757208156587,2.727797390584258,0.024990282387082452,0.024990282387082452,-2.113833581063318e-06
0.049999999999999996,0.049999999999999996,0.14881757208156587,3.923799851757305,0.0249799287438619,0.0249799287438619,-3.03913031540759e-06
0.049999999999999996,0.049999999999999996,0.14881757208156587,5.64418945842344,0.024999999991302424,0.02491704398435246,-4.3671348333163e-06
0.049999999999999996,0.049999999999999996,0.14881757208156587,8.118883695943603,0.024999999981902832,0.0248285969004165,-6.268520776231412e-06
0.049999999999999996,0.049999999999999996,0.14881757208156587,11.678607345450605,0.02499999996210267,0.024646185865548453,-8.97721143733321e-06
0.049999999999999996,0.049999999999999996,0.14881757208156587,16.7990914314189,0.024999999919671723,0.02427130373162889,-1.279555755218098e-05
0.049999999999999996,0.049999999999999996,0.14881757208156587,24.164651192858756,0.024999999825907615,0.023506460092015402,-1.805892931194819e-05
0.049999999999999996,0.049999999999999996,0.14881757208156587,34.75963980887802,0.02499999960883681,0.021969558587497495,-2.496589676415084e-05
0.049999999999999996,0.049999999999999996,0.14881757208156587,49.99999999999999,0.024999999081120272,0.018978581193357158,-3.3031216052137324e-05
0.049999999999999996,0.049999999999999996,0.21406661993596965,0.049999999999999996,0.024999937061843003,0.024999937061843003,-5.5760275508021095e-08
0.049999999999999996,0.049999999999999996,0.21406661993596965,0.07192249441438314,0.024999933580736933,0.024999933580736933,-8.020834840749558e-08
0.049999999999999996,0.049999999999999996,0.21406661993596965,0.10345690405573947,0.024999926377849757,0.024999926377849757,-1.1537565036690012e-07
0.049999999999999996,0.049999999999999996,0.21406661993596965,0.14881757208156587,0.024999911474090197,0.024999911474090197,-1.659619721650074e-07
0.049999999999999996,0.049999999999999996,0.21406661993596965,0.21406661993596965,0.02499988063618641,0.02499988063618641,-2.387276269999461e-07
0.049999999999999996,0.049999999999999996,0.21406661993596965,0.30792410553301314,0.02499981682845087,0.02499981682845087,-3.4339667642768745e-07
0.049999999999999996,0.049999999999999996,0.21406661993596965,0.4429333952050412,0.024999684802056166,0.024999684802056166,-4.939557776140191e-07
0.049999999999999996,0.049999999999999996,0.21406661993596965,0.6371374928515666,0.024999411623874312,0.024999411623874312,-7.105213084557249e-07
0.049999999999999996,0.049999999999999996,0.21406661993596965,0.9164903554162177,0.024998846391878438,0.024998846391878438,-1.0220215429512791e-06
0.049999999999999996,0.049999999999999996,0.21406661993596965,1.3183254493651788,0.024997676897565935,0.024997676897565935,-1.470044174389784e-06
0.049999999999999996,0.049999999999999996,0.21406661993596965,1.8963450953661247,0.02499525726098817,0.02499525726098817,-2.1143390460665046e-06
